CHEMBLID,smiles,ido_ic50,tdo_ic50
CHEMBL3745873,Nc1oc2c(-c3ccnc(N4CCOCC4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,5.698970004336019
CHEMBL377478,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CC[C@H](O)C2(C)C,5.0,5.0
CHEMBL382312,Brc1cccc(-c2c[nH]nn2)c1,5.698970004336019,4.0
CHEMBL38596,c1csc(-c2nccc3c2[nH]c2ccccc23)c1,4.301029995663981,4.964970717797632
CHEMBL3909480,Cc1n[nH]c2c1C(c1ccc(F)c(Cl)c1)c1c([nH]c(=O)[nH]c1=O)O2,6.3585258894959,5.522878745280337
CHEMBL3913434,Cc1n[nH]c2c1C(c1ccc(F)c(Cl)c1)c1c(C)n[nH]c1O2,6.585026652029182,5.522878745280337
CHEMBL3913975,N#CC1=C(N)Nc2[nH]c(=O)[nH]c(=O)c2C1c1cccc(Cl)c1,6.325138859262188,5.522878745280337
CHEMBL3927265,Nc1n[nH]c2c1C(c1ccc(F)c(Cl)c1)c1c(N)n[nH]c1O2,6.422508200162775,5.522878745280337
CHEMBL3930308,Cc1n[nH]c2c1C(c1ccc(F)cc1)c1c(C)n[nH]c1O2,6.319664486585436,5.522878745280337
CHEMBL3936225,COc1ccc(C2c3c(C)n[nH]c3Oc3[nH]nc(N)c32)cc1O,6.401209493236885,5.522878745280337
CHEMBL3940383,Cc1n[nH]c2c1C(c1ccc(F)c(F)c1)c1c(C)n[nH]c1O2,6.355561410532162,5.522878745280337
CHEMBL3945146,Cc1n[nH]c2c1C(c1ccc(F)c(F)c1)c1c(N)n[nH]c1O2,6.82102305270683,5.522878745280337
CHEMBL3966057,Nc1n[nH]c2c1C(c1ccc(F)c(F)c1)c1c(N)n[nH]c1O2,6.621602099051862,5.522878745280337
CHEMBL3971417,Cc1n[nH]c2c1C(c1ccc(F)c(F)c1)c1c([nH]c(=O)[nH]c1=O)O2,6.3872161432802645,5.522878745280337
CHEMBL3971895,N#Cc1c(-c2cccc(Cl)c2)c2c(=O)[nH]c(=O)[nH]c2[nH]c1=O,6.528708288941061,5.522878745280337
CHEMBL3972619,Oc1ccc(CNc2cc(Br)cc3[nH]ncc23)cc1,5.275724130399211,5.732828271596986
CHEMBL3974564,Cc1n[nH]c2c1C(c1ccc(F)c(Cl)c1)c1c(N)n[nH]c1O2,6.462180904926726,5.522878745280337
CHEMBL3989951,O[C@H](C[C@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,7.886056647693163,6.853871964321762
CHEMBL4086143,O=C1CC(c2c[nH]c3ccc(F)cc23)C(=O)N1,9.920818753952375,5.0
CHEMBL4092918,O=C1c2ccccc2C2=C3C(O)=NN=C3CCN12,5.764471553092451,5.361510743045363
CHEMBL4160797,Oc1ccc(Cl)cc1-c1cncn1Cc1cc2cc(F)ccc2[nH]1,7.471083299722345,4.2644011003018205
CHEMBL4161733,C[C@@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,9.301029995663981,5.0
CHEMBL4165309,Oc1ccc(F)cc1-c1cncn1Cc1cc2cc(F)ccc2[nH]1,6.94692155651658,4.075720713938118
CHEMBL4237632,Cc1ccccc1NC(=O)c1c2c(n3ccccc13)C(=O)c1cccnc1C2=O,6.872895201635193,4.0
CHEMBL4239450,O=C([O-])c1cccc(NC(=O)c2c3c(n4ccccc24)C(=O)c2cccnc2C3=O)c1.[K+],6.4089353929735005,4.0
CHEMBL4242333,O=C1c2cccnc2C(=O)c2c1c(C(=O)Nc1ccccc1)c1ccccn21,6.442492798094342,5.136677139879544
CHEMBL4243692,O=C([O-])c1cccc(NC(=O)c2c3c(n4ccccc24)C(=O)c2ncccc2C3=O)c1.[K+],6.8297382846050425,4.380906669373257
CHEMBL4245134,NC(=S)NNC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,7.638272163982407,5.920818753952375
CHEMBL4245579,CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1cccnc1C2=O,5.9083330424043154,5.145693958198919
CHEMBL4248088,O=C1c2ncccc2C(=O)c2c1c(C(=O)Nc1ccccc1)c1ccccn21,6.924453038607469,4.0
CHEMBL4250771,Cc1ccccc1NC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,6.369572124974976,4.0
CHEMBL4276879,Nc1sc2ccccc2c1Sc1cccc(Cl)c1,6.0,5.698970004336019
CHEMBL4276886,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(C(F)(F)F)c4)c(N)oc23)ccn1,6.698970004336019,5.698970004336019
CHEMBL4276888,Cc1cc(-c2cccc3c(Nc4cccc(Cl)c4)c(N)sc23)ccn1,6.698970004336019,6.301029995663981
CHEMBL4276905,Nc1oc2c(-c3ccccc3Cl)nccc2c1Nc1ccc(F)c(F)c1,6.698970004336019,6.301029995663981
CHEMBL4276969,C#Cc1cc(Nc2c(N)oc3c(-c4ccncc4)nccc23)ccc1F,6.698970004336019,6.301029995663981
CHEMBL4277061,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2cn1,6.698970004336019,6.301029995663981
CHEMBL4277115,Nc1oc2cnccc2c1Nc1ccc(F)cc1,6.698970004336019,6.301029995663981
CHEMBL4277163,Cc1cc(Cl)cc(Nc2c(N)oc3cnccc23)c1,6.698970004336019,6.301029995663981
CHEMBL4277184,Nc1sc2ccccc2c1Nc1ccccc1,6.698970004336019,6.301029995663981
CHEMBL4277268,Nc1oc2cnc(F)cc2c1Nc1ccc(F)c(C(F)(F)F)c1,6.698970004336019,6.301029995663981
CHEMBL4277355,CC(C)Oc1cccc(Nc2c(N)oc3cnccc23)c1,6.0,5.698970004336019
CHEMBL4277452,Cc1ccc(Nc2c(N)oc3cnccc23)cc1C,6.698970004336019,6.301029995663981
CHEMBL4277466,Nc1oc2c[n+]([O-])ccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4277566,Nc1oc2cnccc2c1Nc1cccnc1,6.0,6.301029995663981
CHEMBL4277636,Cc1cc(Nc2c(N)oc3cnccc23)ccc1F,6.698970004336019,6.301029995663981
CHEMBL4277745,Nc1oc2c(-c3ccc4ccccc4c3)nccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,5.698970004336019
CHEMBL4277781,O=C1c2ccccc2C(=O)c2c1ncn2Cc1cccc(Cl)c1,4.0,4.0
CHEMBL4277866,COc1ccccc1-c1nccc2c(Nc3ccc(F)c(F)c3)c(N)oc12,6.698970004336019,6.301029995663981
CHEMBL4278098,N#Cc1ccc2c(Nc3cccc(C(F)(F)F)c3)c(N)oc2c1,6.698970004336019,6.301029995663981
CHEMBL4278199,Nc1sc2ccccc2c1Nc1cccc(C(F)(F)F)c1,6.698970004336019,5.698970004336019
CHEMBL4278213,CCOC(=O)Nc1oc2c(C#N)nccc2c1N(C(=O)OCC)c1ccc(F)c(C(F)(F)F)c1,6.0,5.698970004336019
CHEMBL4278281,Nc1oc2cnc(F)cc2c1Nc1cccc(C(F)(F)F)c1,6.698970004336019,6.301029995663981
CHEMBL4278347,Nc1oc2cncc(Cl)c2c1Nc1ccc(Cl)c(F)c1,6.0,6.301029995663981
CHEMBL4278364,Nc1sc2ccc(Cl)cc2c1Nc1ccccc1,6.698970004336019,5.698970004336019
CHEMBL4278386,CC(C)(C)c1cccc(Nc2c(N)oc3cnccc23)c1,6.0,5.698970004336019
CHEMBL4278408,Nc1oc2cnccc2c1Nc1ccc2c(c1)CCCC2,6.0,5.698970004336019
CHEMBL4278457,Cc1cccc(Nc2c(N)oc3cc(C#N)ccc23)c1,6.698970004336019,5.698970004336019
CHEMBL4278469,Nc1oc2c(-c3ccc4c(c3)OCO4)nccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4278584,Nc1sc2c(-c3ccccc3)cccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,5.698970004336019
CHEMBL4278645,Nc1oc2cnccc2c1Nc1cccc(C(F)(F)F)c1,6.698970004336019,6.301029995663981
CHEMBL4278716,Cl.Nc1sc2ccc(Cl)cc2c1Nc1cccc(C(F)(F)F)c1,6.698970004336019,6.301029995663981
CHEMBL4278779,Cc1ncc(C)c2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,6.698970004336019,6.301029995663981
CHEMBL4278848,Cc1ccc(Nc2c(N)oc3cnccc23)cc1Br,6.698970004336019,6.301029995663981
CHEMBL4278982,CCCNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,6.698970004336019,5.698970004336019
CHEMBL4279004,CCOC(=O)Nc1oc2c(-c3cc(C)nc(C)c3)nccc2c1Nc1ccc(F)c(Cl)c1,6.0,5.698970004336019
CHEMBL4279010,C#Cc1cccc(Nc2c(N)sc3ccccc23)c1,6.698970004336019,5.698970004336019
CHEMBL4279026,Cc1cc(-c2nc(F)cc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,6.698970004336019,6.301029995663981
CHEMBL4279040,Nc1sc2ccccc2c1Nc1ccc(F)c(F)c1,6.698970004336019,6.301029995663981
CHEMBL4279060,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(F)c1,6.698970004336019,6.301029995663981
CHEMBL4279220,CC(=O)N[C@@H](CC1C(=O)Nc2ccccc21)C(=O)O,6.2076083105017466,4.078469586498757
CHEMBL4279234,C#Cc1cccc(Nc2c(N)oc3c(C)nccc23)c1,6.698970004336019,6.301029995663981
CHEMBL4279253,CCOC(=O)Nc1oc2c(-c3ccncc3)nccc2c1N(C(=O)OCC)c1ccc(F)c(C(F)(F)F)c1,6.0,5.698970004336019
CHEMBL4279365,CC(=O)CC(=O)/C=C1\C(=O)Nc2ccc(Cl)cc21,6.721246399047171,4.398809467384666
CHEMBL4279406,Nc1oc2cnccc2c1Nc1ccc(F)c(C(F)(F)F)c1,6.698970004336019,6.301029995663981
CHEMBL4279449,N#Cc1nccc2c(Nc3ccc(F)c(F)c3)c(N)oc12,6.698970004336019,6.301029995663981
CHEMBL4279530,Cc1cc(-c2cccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,6.698970004336019,5.698970004336019
CHEMBL4279536,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4279587,Nc1oc2cnccc2c1Nc1ccc(C(F)(F)F)cc1,6.0,6.301029995663981
CHEMBL4279613,Nc1sc2ccccc2c1Nc1cccc(Cl)c1,6.698970004336019,6.301029995663981
